comment,label
"['recall', 'more', 'in', 'a', 'year', 'will', 'be', 'people', 'at', 'work', 'think', 'it', 'is', 'safe', 'Malaysia']",sarc
"['enough', 'bang', 'jib', 'kid', 'game']",sarc
"['budget', 'piss', 'people']",non-sarc
"['no', 'need', 'budget', 'is', 'Malaysia', 'have', 'entered', 'country', 'charts', 'most', 'right', 'in', 'world', 'money', 'right', 'money', 'billion', 'going', 'spend', 'any', 'income', 'tax', 'goes', 'subsidies', 'already', 'pull', 'free', 'education', 'is', 'not', 'has', 'gone', 'up', 'is', 'no', 'longer', 'enough', 'countries', 'have', 'severe', 'currency', 'has', 'blasted', 'are', 'talking', 'more', 'stable', 'economy', 'has', 'been', 'shattered', 'perish', 'is', 'do']",non-sarc
"['grateful', 'is', 'is', 'now', 'loud', 'noise', 'in', 'can', 'not', 'change', 'again', 'went', 'dissatisfaction', 'is', 'any', 'country', 'like', 'point']",sarc
['useless'],non-sarc
"['budget', 'only', 'last', 'as', 'long', 'as', 'can', 'budget', 'can', 'not', 'have', 'going', 'budget']",sarc
"['story', 'on', 'paper', 'it', 'looks', 'nice', 'like', 'but', 'as', 'a', 'result', 'are', 'now', 'facing', 'end', 'year', 'star', 'again', 'next', 'year', 'saw', 'people', 'on', 'back', 'again']",sarc
"['no', 'function', 'only', 'budget', 'underpaid', 'young', 'people', 'can', 'not', 'be', 'interesting']",non-sarc
"['I', 'do', 'not', 'understand', 'properly', 'why', 'minimum', 'wage', 'Sabah', 'Sarawak', 'w', 'go', 'only', 'months', 'while', 'here', 'goods', 'more', 'expensive', 'in', 'peninsula', 'minimum', 'wage', 'months', 'things', 'government', 'employees', 'outside', 'region', 'has', 'one', 'regional', 'allowance', 'grade', 'n', 'oh', 'but', 'try', 'Sabah', 'Sarawak', 'peninsula', 'only', 'just', 'weird', 'weird', 'really', 'unfair']",sarc
"['A', 'good', 'budget', 'is']",sarc
"['budget', 'each', 'year', 'budget', 'all', 'cronies', 'vacuum', 'all']",non-sarc
"['receive', 'donations', 'budget', 'people', 'today', 'pay', 'facts']",non-sarc
"['head', 'testicles', 'need']",non-sarc
"['pay', 'no', 'attention', 'last', 'ingot', 'people', 'go', 'is', 'difficult', 'as', 'long', 'as', 'I', 'alive', 'happy', 'cronies']",sarc
"['tag', 'line', 'before', 'hear', 'pulse', 'people']",sarc
"['ask', 'is', 'there', 'a', 'mufti', 'uncle', 'ear']",sarc
"['not', 'stretch', 'stretch', 'most', 'people', 'makes', 'no', 'different']",non-sarc
"['I', 'tired', 'hearing', 'same', 'budget', 'also', 'run', 'budget']",sarc
"['b', 'budget', 'inches', 'thick', 'face', 'shameless']",sarc
"['phobias', 'is', 'look', 'he', 'right']",sarc
"['cabinet', 'sycophant']",sarc
"['Ingot', 'r', 'lazy', 'self', 'budget']",non-sarc
"['cool', 'budget']",sarc
"['No', 'more', 'will', 'tapir', 'dock']",sarc
['blotted'],non-sarc
"['landscape', 'waste', 'time', 'bandits', 'masked', 'devil', 'budget']",sarc
"['I', 'do', 'not', 'believe', 'deceived', 'people', 'oppressed', 'under', 'minister', 'he', 'was', 'all', 'right', 'eat', 'people']",sarc
"['people', 'were', 'taking', 'all', 'things', 'were', 'na', 'breathe', 'more', 'air', 'pass', 'payable', 'be', 'adopted', 'water', 'purifier']",sarc
"['budget', 'dead', 'people']",sarc
"['chills', 'just', 'felt', 'like', 'he', 'wanted', 'stretch', 'budget', 'afternoon']",sarc
"['trick', 'only', 'as', 'long', 'as', 'he', 'wants', 'rake', 'in', 'money', 'people', 'as', 'long', 'as', 'it', 'is', 'difficult', 'dredges', 'people', 'happy', 'idiot', 'minister', 'wood']",sarc
"['self', 'is', 'not', 'dead']",sarc
"['other', 'kid', 'in', 'tone', 'voice', 'let', 'see', 'who', 'touches']",sarc
"['budget', 'is', 'strengthen', 'its', 'position', 'as', 'pm', 'not', 'people', 'after', 'a', 'few', 'years', 'he', 'began', 'wring', 'neck', 'people', 'cache', 'afro', 'hair']",sarc
"['people', 'greatest', 'gifts', 'Malaysians']",sarc
"['bag', 'trick', 'fraud']",sarc
"['unfulfilled', 'budget', 'commotion', 'in', 'wait', 'at', 'pleasure', 'comes', 'next', 'year', 'budget', 'burden', 'being', 'left', 'waiting', 'joy', 'torture', 'do', 'not', 'expect', 'is']",sarc
"['does', 'not', 'stop', 'smile', 'b', 'unaffected', 'say', 'troublesome', 'tribal', 'people']",sarc
"['help', 'government', 'said', 'it', 'was', 'capable', 'paying', 'income', 'tax', 'income', 'thanks', 'indeed', 'have', 'millions', 'infant', 'month']",sarc
"['calamity', 'will', 'befall']",sarc
"['is', 'a', 'great', 'great', 'fool']",sarc
"['book', 'bag', 'in', 'debt', 'only']",non-sarc
"['is', 'kid', 'just', 'scanned', 'all', 'troublesome', 'point', 'brim', 'was', 'it', 'was', 'all', 'go', 'shopping', 'already', 'reached', 'kitchen', 'try', 'cancel', 'hundred', 'incoming', 'relieved', 'government', 'choke', 'blood', 'wrong', 'kind']",sarc
"['budget', 'planners']",non-sarc
"['unconscious', 'plague', 'only', 'lengthwise']",non-sarc
"['wring', 'hit', 'right', 'needs', 'people', 'said', 'people', 'suffer']",sarc
"['n', 'budget', 'only', 'government', 'business', 'only', 'private', 'work', 'please', 'go', 'dead']",sarc
"['hypocrisy', 'chat']",sarc
"['none', 'coat', 'budget', 'economy', 'needs', 'n']",sarc
"['budget', 'year', 'has', 'increased', 'wealth', 'extravagant']",sarc
"['Malaysia', 'forward', 'rather', 'backward']",sarc
"['sugar', 'budget', 'minister', 'hear', 'fan', 'away', 'tomorrow', 'minister', 'said', 'all', 'good', 'there', 'is', 'nothing', 'good', 'I', 'am', 'minister', 'feet', 'be', 'full', 'fan', 'account']",sarc
['useless'],non-sarc
"['themed', 'swipe', 'smooth', 'budget']",sarc
"['do', 'see', 'look', 'he', 'tired', 'very', 'mention', 'style', 'very', 'crap']",non-sarc
"['Malaysia', 'backwards']",non-sarc
"['budget', 'most', 'people', 'think', 'each', 'year', 'feels', 'right', 'definitely', 'needs', 'more', 'goods', 'rose', 'oil', 'is', 'more', 'pig']",non-sarc
"['congratulations', 'budget', 'promises', 'fulfilled', 'economic', 'needs', 'people', 'promote', 'economic', 'burden', 'inconvenience', 'people', 'promise', 'not', 'kept']",sarc
"['budget', 'on', 'paper', 'all', 'great', 'but', 'did', 'not', 'create', 'a', 'dust']",sarc
"['budget', 'in', 'many', 'millions', 'going', 'shopping', 'abroad', 'not', 'forget', 'also']",sarc
"['devils', 'bring', 'milk']",non-sarc
['boring'],non-sarc
"['budget', 'before', 'real', 'economy', 'abound', 'n', 'crony', 'economic', 'needs', 'people', 'said']",sarc
"['despicable', 'in', 'eyes', 'people', 'who', 'vote', 'do', 'not', 'vote', 'maybe', 'feel', 'noblest']",sarc
"['budget', 'is', 'simply', 'cheating', 'on', 'paper']",sarc
"['take', 'back', 'coat', 'is', 'coat', 'a', 'bit', 'he', 'took', 'back', 'many', 'budget', 'each', 'year']",sarc
"['waste', 'time']",non-sarc
"['government', 'needs', 'pay', 'back', 'debt', 'congratulates', 'raise', 'again', 'next', 'year']",sarc
"['want', 'scan', 'pm', 'thieves', 'swindlers']",non-sarc
"['hit', 'up', 'a', 'strong', 'future']",non-sarc
"['any', 'budget', 'I', 'can', 'not', 'believe', 'garrulous', 'only']",non-sarc
"['quotation', 'accommodate', 'decrease', 'in', 'crude', 'oil', 'prices', 'will', 'be', 'victims', 'head', 'but', 'name']",sarc
"['difficult', 'budget', 'Malaysians']",non-sarc
"['so', 'bag', 'defects', 'make', 'up', 'is', 'so', 'stupid', 'I', 'do', 'not', 'cheat', 'people']",sarc
"['Hell', 'budget', 'economy']",non-sarc
"['I', 'had', 'no', 'jib', 'budget', 'tomorrow', 'payday', 'is', 'exhausted', 'people', 'live', 'in', 'delusion']",sarc
"['title', 'was', 'already', 'one', 'economic', 'needs', 'new', 'right']",sarc
"['stretch', 'budget', 'were', 'budget', 'there', 'is']",sarc
"['same', 'can', 'go', 'die', 'got', 'budget']",non-sarc
"['it', 'all', 'on', 'paper', 'but', 'no', 'later', 'realize', 'there', 'is', 'no', 'minister', 'n', 'economists', 'say', 'is', 'best', 'budget', 'in', 'century']",sarc
['testicles'],non-sarc
"['I', 'really', 'do', 'not', 'have', 'budget', 'it', 'later', 'said', 'people', 'behind', 'robbery', 'off', 'correct', 'hike', 'oil', 'prices', 'various', 'tax', 'again']",sarc
"['There', 'is', 'staring']",sarc
"['a', 'vote', 'no', 'confidence', 'in', 'star', 'kid', 'there', 'is', 'only', 'way', 'avoid', 'going', 'out', 'daily', 'budget', 'news', 'said', 'it', 'wanted', 'I', 'sick', 'strategy', 'are', 'going', 'remain', 'so', 'pm', 'evil', 'keep', 'going', 'down', 'also', 'continue', 'go', 'jail']",sarc
"['budget', 'wood', 'cabinet']",sarc
"['strong', 'pockets', 'gang']",sarc
"['solid', 'manure']",sarc
['best'],sarc
"['nice', 'yummy', 'read', 'news', 'just', 'read', 'is', 'essentially']",sarc
"['chart', 'has', 'not', 'necessarily', 'just', 'right', 'sweet', 'like', 'sugar', 'but', 'bitter', 'at', 'end']",sarc
"['civil', 'servants', 'only', 'private', 'any', 'existing', 'no', 'cost', 'living', 'higher', 'salary', 'enough', 'eat', 'while', 'I', 'languished', 'end', 'month']",sarc
"['easy', 'person', 'working', 'next', 'government', 'make', 'sure', 'panting', 'stronger']",sarc
['sugar'],sarc
"['past', 'all', 'more', 'delicious', 'government']",sarc
"['not', 'just', 'work', 'own', 'people', 'working', 'fishing', 'village', 'is', 'just', 'about', 'tap', 'rubber', 'tread', 'even', 'sen', 'Too', 'mean']",non-sarc
"['private', 'sector', 'workers', 'ignored']",non-sarc
"['oh', 'verbiage', 'civil', 'servants', 'who', 'pay', 'taxes', 'pay', 'private', 'is', 'not', 'na', 'ea', 'it', 'is', 'time', 'flatter', 'private', 'groups', 'vote', 'evening', 'he', 'is']",sarc
"['political', 'win', 'votes', 'elections', 'later']",sarc
"['civil', 'servants', 'only', 'choke']",non-sarc
"['last', 'is', 'a', 'lively', 'discussion', 'going', 'cross', 'line', 'again', 'national', 'best']",sarc
['father'],sarc
"['he', 'took', 'only', 'money', 'is', 'not', 'much', 'say']",sarc
['funny'],sarc
"['said', 'Mr', 'enough', 'shopping', 'only', 'a', 'month', 'now', 'overnight', 'buy', 'any', 'goods', 'dah']",sarc
"['apparently', 'all', 'civil', 'servants']",sarc
"['so', 'I', 'envy', 'both', 'private', 'employee']",non-sarc
"['billion', 'billion', 'million', 'million', 'government', 'money', 'properly', 'is', 'not', 'enough', 'quietly', 'borrow', 'again', 'increased', 'national', 'debt', 'is', 'not', 'going', 'noise']",sarc
"['Fortunately', 'other', 'government']",sarc
"['good', 'riddance', 'later', 'can', 'wring', 'next', 'year']",sarc
['sugar'],sarc
"['gives', 'can', 'not', 'even', 'hold', 'a', 'year', 'ten', 'years']",sarc
"['civil', 'servants', 'can', 'only', 'private', 'company', 'months', 'I', 'was', 'salty', 'booger', 'is', 'jib']",sarc
"['do', 'not', 'want', 'delete', 'brim', 'just', 'right', 'subsidy', 'on', 'oil', 'it', 'again', 'help', 'people']",non-sarc
"['all', 'planning', 'only', 'have', 'believe', 'it']",sarc
"['is', 'one', 'country', 'corruption', 'is', 'an', 'agreement', 'lift', 'secrecy', 'oath', 'protect', 'cons', 'leader']",non-sarc
"['I', 'pay', 'car', 'home', 'only', 'reason', 'I', 'thank', 'God', 'life', 'find', 'a', 'bite', 'rice', 'I', 'grateful', 'I', 'have']",non-sarc
"['buy', 'side', 'only']",sarc
"['private', 'outings']",sarc
"['a', 'private', 'sit', 'agape', 'pay', 'taxes', 'here', 'there', 'but', 'no', 'thank', 'dust']",sarc
"['previously', 'government', 'money', 'a', 'wide', 'brim', 'example', 'vouchers', 'other', 'books', 'like', 'trying', 'explain', 'just', 'now', 'pm', 'thankful', 'have', 'is', 'gods', 'do', 'pull', 'back', 'have', 'is', 'fact', 'do', 'not', 'snap', 'it']",non-sarc
"['okay', 'not', 'hold', 'it', 'out', 'again']",sarc
"['provision', 'deem', 'coming', 'thank', 'god']",non-sarc
"['wow', 'remember', 'much', 'it']",sarc
"['all', 'feet']",non-sarc
"['only', 'want', 'half', 'months', 'stupid']",sarc
"['le', 'fun', 'government', 'work']",sarc
"['began', 'praise', 'nice', 'last', 'year', 'but', 'no', 'can', 'bonus', 'pay', 'year', 'last', 'month', 'only']",sarc
"['I', 'am', 'dead']",non-sarc
"['thank', 'luck', 'though']",non-sarc
"['assist', 'people', 'burden', 'is', 'very']",sarc
"['grateful', 'potluck']",non-sarc
"['congratulates', 'thank', 'so', 'quiet', 'high', 'morale', 'in', 'budget', 'makes', 'up', 'opposition', 'm', 'e', 'l', 'o', 'n', 'g', 'o', 'go', 'in', 'hall']",non-sarc
['standard'],non-sarc
"['shave', 'shaved', 'bald']",sarc
"['there', 'is', 'no', 'immediate', 'fate', 'thanks', 'pm']",non-sarc
"['yes', 'I', 'do', 'other', 'basic', 'work', 'good', 'reason', 'article', 'has', 'all', 'illegal', 'overtime', 'working', 'company', 'cut', 'free']",non-sarc
"['are', 'things', 'going', 'get', 'in', 'want', 'a', 'lot', 'bonuses', 'buy', 'new', 'shares', 'thousands', 'comments', 'not', 'want', 'do', 'not', 'take']",non-sarc
"['Worshippers', 'do', 'not', 'buy', 'clothes', 'a', 'pair', 'shoes', 'not', 'mention', 'book', 'bag', 'he', 'was', 'not', 'enough', 'child', 'child', 'em', 'I', 'do', 'not', 'know', 'cost', 'living', 'is', 'too', 'meager', 'salary']",sarc
"['private', 'taxable', 'again', 'there', 'is', 'hope', 'year', 'end', 'bonus', 'verbiage', 'any']",sarc
"['salaries', 'thousands', 'blind', 'can', 'be', 'thousands', 'us', 'who', 'pay', 'a', 'thousand']",sarc
"['oh', 'yes', 'it', 'is', 'best', 'remember']",sarc
"['thank', 'thank', 'thank', 'government']",non-sarc
['thank'],non-sarc
['thank'],non-sarc
"['fortunately', 'it', 'can', 'be', 'any', 'private', 'parts', 'anyway']",sarc
"['is', 'expensive', 'enough']",non-sarc
"['ok', 'is', 'no', 'direct', 'but', 'Malay', 'is', 'indeed', 'susceptible', 'new', 'sugar', 'hit', 'fun', 'but', 'forget', 'all', 'only', 'can', 'but', 'do', 'not', 'realize', 'Mr', 'day', 'squeeze', 'money', 'people', 'today', 'can', 'feel', 'good', 'bonus', 'day', 'after', 'tomorrow', 'bonus', 'he', 'also', 'not', 'forget']",sarc
"['Malaysians', 'do', 'not', 'ask', 'money', 'brim', 'support', 'just', 'about', 'burden', 'people', 'do', 'not', 'practice', 'it', 'only', 'money']",sarc
"['but', 'payable', 'fold', 'again']",non-sarc
"['brim', 'can', 'pay', 'rises', 'bonuses', 'does', 'not', 'know', 'be', 'grateful']",sarc
"['every', 'year', 'it', 'can', 'also']",sarc
"['never', 'grateful', 'government', 'government', 'school', 'children']",sarc
"['wow', 'many']",sarc
"['civil', 'servants', 'who', 'work', 'jobs']",sarc
"['Last', 'year', 'half', 'next', 'year', 'salary', 'last', 'year', 'was', 'no']",sarc
"['create', 'connection', 'it', 'back', 'okay']",sarc
"['half', 'month', 'salary', 'was', 'difficult']",sarc
"['stingy', 'jib']",non-sarc
['thank'],non-sarc
"['gratitude', 'is', 'people', 'want', 'do', 'not', 'want', 'money', 'charity', 'on', 'right']",non-sarc
"['thanks', 'no', 'complaint', 'only', 'engrossed', 'things', 'go', 'in']",sarc
"['thank', 'learn', 'thankful']",non-sarc
"['I', 'just', 'getting', 'good', 'game', 'saw', 'no', 'need']",sarc
"['people', 'in', 'clown']",sarc
"['it', 'is', 'going', 'save', 'money', 'jib']",sarc
"['pig', 'pm']",non-sarc
"['only', 'civil', 'servants', 'is', 'close', 'Malaysian', 'citizens']",sarc
"['nearly', 'ate', 'desperate', 'time', 'feel', 'good', 'can', 'not', 'come', 'nothing', 'thanks', 'verbiage']",non-sarc
"['blind', 'is', 'already', 'more', 'a', 'month', 'Ratio', 'lightened', 'burden', 'people', 'instead', 'money', 'people', 'want', 'lasting', 'anywhere']",sarc
"['profit', 'civil', 'servants', 'is', 'private', 'sector', 'alone', 'have', 'not', 'yet']",non-sarc
"['fine', 'last', 'year', 'a', 'half', 'month', 'salary', 'can', 'be', 'later', 'year', 'a', 'new', 'kid', 'I', 'want', 'a', 'new', 'election', 'a', 'month', 'salary', 'seemed', 'very', 'corrupt']",sarc
"['yay', 'grandfather', 'jib', 'money']",non-sarc
"['only', 'half', 'a', 'month', 'salary', 'remind', 'why', 'not', 'just', 'all']",non-sarc
"['jib', 'is', 'misplaced', 'office', 'has', 'a', 'lot', 'little']",sarc
"['loss', 'civil', 'servants', 'so', 'why', 'can', 'not', 'do', 'jib', 'brim', 'ingot', 'will', 'arrive']",non-sarc
['sugar'],sarc
"['people', 'give', 'thanks']",non-sarc
['all'],sarc
"['brim', 'more']",sarc
"['monthly', 'salary', 'can', 'not', 'even', 'want', 'give', 'take', 'air', 'chat', 'billion', 'billion', 'economy', 'soaring', 'ends', 'any', 'brother']",sarc
"['also', 'be']",non-sarc
"['proper', 'tax', 'relief', 'only', 'more', 'people', 'like', 'me', 'benefits', 'it', 'can']",sarc
['amen'],non-sarc
"['I', 'hope', 'it', 'does', 'not', 'get', 'money', 'it', 'very', 'parents', 'responsibility', 'take', 'care', 'children', 'is', 'important', 'pleased', 'God']",non-sarc
"['ass', 'mother', 'jib']",non-sarc
"['promise', 'heaven', 'can', 'not', 'believe', 'people', 'have', 'a', 'lot', 'pee', 'g']",sarc
"['no', 'need', 'it', 'is', 'responsibility', 'child', 'much', 'more', 'needs', 'be', 'assisted']",non-sarc
"['exhausted', 'parents', 'child', 'is', 'not', 'given', 'tax', 'relief', 'tax', 'is', 'not', 'eligible', 'Malaysians', 'said', 'had', 'in', 'budget', 'country', 'has', 'not', 'destitute', 'yet', 'why', 'opposition', 'said', 'Malaysia', 'already', 'bankrupt', 'while', 'mufti', 'said', 'read', 'back', 'country', 'there', 'are', 'financial', 'problems', 'severe', 'new', 'can', 'taxation', 'but', 'taxation', 'is', 'not', 'unreasonable', 'in', 'more', 'car', 'tax', 'its', 'house', 'all', 'taxes', 'is', 'not', 'tomorrow', 'said', 'millions', 'people', 'I', 'was', 'not', 'quite', 'kosher', 'afterlife']",sarc
"['people', 'are', 'not', 'taxable', 'but', 'both', 'parents', 'earn', 'too', 'oh', 'good', 'I', 'forgot', 'brim', 'head', 'brain', 'are', 'poor']",non-sarc
"['tax', 'relief', 'government', 'alone']",sarc
"['blatant', 'lie']",non-sarc
"['thanks', 'Sovereignty', 'now', 'help', 'hard', 'way']",non-sarc
"['aged', 'or', 'older', 'under', 'no', 'child', 'is', 'dead']",sarc
"['patient', 'only', 'by', 'gratitude', 'Malaysia', 'is', 'still', 'safe']",non-sarc
"['parents', 'support', 'young', 'people', 'all', 'contribute', 'father', 'mak', 'money', 'near', 'village', 'near', 'one', 'may', 'rebate', 'all']",non-sarc
"['amen', 'gratitude', 'Allah', 'nothing', 'right', 'light', 'can', 'also', 'load']",non-sarc
"['not', 'release', 'help', 'it', 'remain', 'painful', 'daily', 'pain']",sarc
"['person', 'any', 'noise']",sarc
"['no', 'need', 'impose', 'direct', 'taxation', 'is', 'happy', 'story']",sarc
"['ec', 'profit', 'tax', 'form', 'is', 'said', 'also', 'mak', 'mak', 'father', 'father', 'but', 'a', 'ray', 'hope', 'home', 'or', 'half', 'way', 'house', 'is', 'not', 'na', 'help', 'was', 'not', 'a', 'big', 'grin', 'power', 'saw']",sarc
"['quite', 'a', 'year', 'is', 'rather', 'long', 'ok', 'well']",sarc
"['only', 'want', 'release', 'Wrath', 'Fire']",sarc
"['but', 'may', 'get', 'tax', 'relief', 'it', 'difficult', 'document', 'due', 'a', 'profusion', 'mother', 'buy', 'drugs', 'near', 'a', 'pharmacy', 'in', 'there', 'is', 'deducted', 'income', 'tax', 'included', 'in', 'only', 'empty', 'barrel', 'more']",sarc
"['it', 'give']",non-sarc
['good'],non-sarc
['amen'],non-sarc
"['I', 'believe', 'devastated', 'country']",non-sarc
"['it', 'blasted', 'country', 'budget', 'donations', 'do', 'is', 'right', 'ringgit', 'was', 'before', 'new', 'can', 'be', 'a', 'strong', 'state', 'economy']",sarc
"['main', 'budget']",sarc
"['later', 'saw', 'extent', 'he', 'has', 'a', 'strong', 'do', 'thirty', 'different', 'kinds', 'have']",sarc
"['head', 'testicles', 'strengthen', 'money', 'has', 'run', 'out']",non-sarc
"['more', 'on', 'strengthening', 'position']",non-sarc
"['so', 'is', 'strong']",sarc
"['strengthen', 'economy', 'national', 'economy', 'only', 'useless']",sarc
"['does', 'economy', 'strong', 'sturdy', 'coat', 'pocket', 'each']",sarc
"['strong', 'sister', 'verbiage']",sarc
"['go', 'lah', 'lah', 'money', 'ringgit', 'fell']",sarc
"['it', 'is', 'strong', 'in', 'boat', 'every', 'citizen', 'government', 'impossible', 'not', 'profit', 'most', 'foolish', 'government', 'in', 'history', 'Malaysia']",sarc
"['strengthen', 'pocket', 'money', 'cheater']",sarc
"['year', 'more', 'fun', 'stuff', 'price', 'a', 'month', 'salary', 'work', 'pay', 'house', 'rent', 'bills', 'school', 'children', 'was', 'not', 'enough', 'food', 'clauses', 'hanging', 'also', 'saw']",non-sarc
"['national', 'best', 'lineup']",sarc
"['thanks', 'jib', 'give', 'us', 'bear', 'a', 'large', 'stone']",sarc
"['thanks', 'Malaysia', 'is', 'always', 'a', 'story', 'in', 'useless', 'dizzy', 'country', 'economy', 'while', 'Malaysian', 'ringgit', 'are', 'falling', 'now', 'runs', 'country', 'economic', 'spin', 'not', 'run', 'out']",sarc
"['go', 'lah']",non-sarc
"['thanks', 'go']",sarc
['right'],sarc
"['before', 'off', 'brim', 'brim', 'ride', 'fathoms', 'slaughtered', 'thousands', 'rather', 'hundreds', 'village']",non-sarc
"['Prime', 'Minister', 'was', 'very', 'good', 'at', 'it', 'excise', 'charge', 'brim', 'people', 'prime', 'minister']",sarc
"['again', 'I', 'love', 'pm', 'so', 'now', 'now', 'get', 'lost', 'resign', 'pm']",non-sarc
"['who', 'does', 'not', 'want', 'brim', 'please', 'fill', 'out', 'form', 'do', 'not', 'talk', 'much', 'a', 'lot', 'people', 'who', 'want', 'continue', 'thanks', 'brim']",non-sarc
"['was', 'crazy']",non-sarc
"['in', 'parliament', 'often', 'referred', 'like', 'I', 'said', 'here', 'exchange', 'dialogue', 'whims', 'I', 'like', 'it', 'all', 'want', 'be', 'on', 'people', 'belongings', 'budget', 'be', 'debated', 'but', 'Malaysian', 'parliament', 'any', 'time', 'opposition', 'support', 'only', 'print', 'most', 'impressive', 'can', 'be', 'detected', 'last', 'pulse', 'people', 'waiting', 'be', 'slaughtered', 'leader', 'all', 'eat', 'chicken', 'people', 'eat', 'chicken', 'feathers', 'man']",non-sarc
"['me', 'here', 'were', 'not', 'happy', 'at', 'brim', 'reason', 'why', 'can', 'only', 'second', 'he', 'promised', 'a', 'year', 'three', 'times']",non-sarc
"['corrupt', 'people', 'again']",non-sarc
"['use', 'pay', 'brim']",non-sarc
"['brim', 'even', 'people', 'do', 'not', 'support', 'think', 'it', 'is', 'good', 'money', 'pay', 'reducing', 'cost', 'living', 'right', 'kind', 'electricity']",sarc
"['Average', 'citizens', 'do', 'not', 'need', 'brim', 'unable', 'help', 'in', 'long', 'term', 'also', 'wants', 'votes', 'bait', 'fishing', 'is', 'not', 'concerned']",sarc
"['is', 'interest', 'initially', 'brim', 'vote', 'coat', 'hook']",sarc
"['can', 'only', 'be', 'grateful', 'gratitude', 'brim', 'all', 'money', 'began', 'run', 'out', 'is', 'see', 'kinds', 'people', 'requesting', 'donations', 'fit', 'brim', 'goods', 'all', 'rose', 'he', 'knew', 'people', 'suffer', 'longer', 'brim', 'promise', 'he', 'can', 'get', 'votes', 'a', 'bag', 'rice']",non-sarc
