comment,sent_majority,sarc_majority
Aku tak faham betul kenapa gaji minimum Sabah Sarawak dan W.P Labuan HANYA RM920/bulan sedangkan kat sini barangan lebih mahal dari di Semenanjung yg dpt gaji minumum RM1000/bulan? Wal hal kalau kakitangan kerajaan asal luar daerah punyalah besar elaun wilayah. Gred N17 RM750 ohhhh tapi cuba kalau Sabah Sarawak WP Labuan di Semenanjung. Hanya RM630 jak. Pelik pelik and really unfair,neg,sarc
Bajet bagus lah..,pos,sarc
Bajet belanjawan tiap2 thun smua nya utk kroni2 hampa smua..,neg,non-sarc
Budget kau terima derma rakyat bayar GST hari ini fakta,neg,non-sarc
Keperluan kepala Butoh hang,neg,non-sarc
"Lepas Pru, kami pekakkan telinga, lantak pi la rakyat hidup susah, asalkn aku dan kroni senang, puihh..",neg,sarc
Tag line sblm pru... “kami mendengar denyut nadi rakyat”,pos,sarc
mintak2 la ada mufti azan kan dia kat telinga uncle kfc ni..,pos,sarc
Bentang ke x bentang to most of the rakyat makes no different....,neg,non-sarc
"Bosan dh nk dngar bajet2 ni.sama je,lari jgak bajet",neg,sarc
Bajet 2.6b Muka tebal 14 inci Tak tahu malu,neg,sarc
Fobia tul la tengok dia ni..,neg,sarc
Budjet untuk rosmah mansur dan cabinet penjilat najib....,neg,sarc
Lantak ko r.....malas nk layan bajet najib......,neg,non-sarc
bajet cool.,pos,sarc
ad lagi ka tenuk2 dok pcaya,neg,sarc
hapuskn GST,neg,non-sarc
Buang masa bentang bajet.. Penyamun bertopeng syaitan,neg,sarc
aku xcaya dgn najib ne..satu2 rakyat ditipu dan ditindas..menteri bawah dia pyn semua makan hak rakyat...,neg,sarc
Apa yg utk rakyat tu? Lepas ni semua benda pun naik sampaikan udara nak sedut pun kena bayar(kena pakai air purifier),neg,sarc
Bajet kasi mati rakyat,neg,sarc
Rasa mcm seram sejuk je dia nk bentang bajet ptg ni huhu,pos,sarc
Menipu je dia ni.selagi nk keruk duit rakyat selagi tu la dia keruk xpk org ssh sng.bodoh najib&menteri kayu!!,neg,sarc
Mampus x layan -_-,neg,sarc
Apa lagi nak di kelentongnya mari kita tengok siapa yang kena.....,neg,sarc
"bajet berkenaan adalah untuk mengukuhkan kedudukannya sebagai pm, bukan untuk rakyat, dan selepas berberapa tahun dia mula memulas tengkuk rakyat untuk tembolok dia dan sirosmah rambut apro tu",neg,sarc
GST KEPADA RAKYAT SATU HADIAH TERBESAR DARI NAJIB KEPADA RAKYAT MALAYSIA,pos,sarc
Beg silap mata utk penipuan,neg,sarc
Bajet yg Tak kesampaian.Rakyat haru biru di buatnya.Kesenangan di tunggu bala yg datang.Bajet tahun depan beban yg sedang menungu.Jangan harap kegembiraan siksaan adalah.,neg,sarc
Senyum xbrenti hg ni noh...2.6b xterjejas katakan....puak2 ni yg mnyusahkan rakyat...,pos,sarc
"Gst membantu kerajaan katanya,ckp tahun byr pulak income tax,tq2 mmg income kmi ni berjuta2 kot sebulan..",pos,sarc
bencana bakal menimpa!!!!!,neg,sarc
"najib memang hebat, hebat menipu",pos,sarc
Beg buku hutang  je kat dlam tu..,neg,non-sarc
Apala yg nak diimbas..semua mnyusahkn sj..takat brim tu apa la sgt..sekali pergi belanja dapur pun mncecah 4 ke 5ratus masuk gst...cuba batalkn gst..lega rakyat...kerajaan mncekik darah rakyat camtu la..,neg,sarc
Bajet TIPU,neg,non-sarc
Xsedar ke bala je memajang,neg,non-sarc
Ko perah gst Ko gasak tol... Keperluaan Rakyat konon... Rakyat susah Sebab Ko najib,neg,sarc
Bajet hanya tuk felda n kerja gov sahaja....yg kerja swasta sila pergi mampus...,pos,sarc
Sembang sang munafikun,neg,sarc
Salah bajet kot. ...ekonomi keperluan najib n rosmah,neg,sarc
Bajet jibby untuk tahun ni tambahkn lagi kekayaan dia dan borosmah...,neg,sarc
Malaysia ke hadapan?bkn kebelakang ke,pos,sarc
bajet gula2 untuk pak menteri yg kaki kipas.kita dengar esok pak menteri ckp semua nya baik2 tak ada yg tak baik.yg aku ni pak menteri kaki kipaslah yg hendak penuh acc,pos,sarc
Hampeh....,neg,non-sarc
Bajet bertema sapu kasi licin,neg,sarc
camna nk tngok???? tngok dia dh meluat sgt apatah lgi gaya ucapan yg amat menyampah.,neg,non-sarc
Malaysia kebelakang...,neg,non-sarc
bajet 2015 apa yg rakyat kebanyakan rasa??setiap tahun apa yg dirasa??yg pasti tol naik.minyak naik.brg kepeluan naik..umno is babi,neg,non-sarc
Tahniah DSN!!! Bajet 2015 Ekonomi keperluan rakyat!!! Janji ditepati!!! JADINYE... EKONOMI MEMBEBAN DN MENYUSAHKAN RAKYAT!!! Janji tk ditepati!!!,pos,sarc
Belanjawan lanjiao...atas kertas semua hebat tp satu habuk pun x buat..,neg,sarc
"Bajet pada Rosmah berapa juta? Nak pi shooping di luar negara, jangan lupa pula?",pos,sarc
Dajal bawak susu..,neg,non-sarc
boring,neg,non-sarc
Bajet sblm ni yg nyata ekonomi najib n kroni melimpah ruah ... ekonomi keperluan rakyat konon...,neg,sarc
hina najib dimata org tidak mengundinya..yg mengundi maybe berasa termulia,pos,sarc
Bajet ni menipu jer..semata2 atas kertas.,neg,sarc
DIA BAGI KOT NI... DIA AMBIK BALIK KOT TU... DIA BG SIKIT... DIA AMBIK BALIK BYK... TIAP2 TAHUN BAGET MCM TU NAJIBBB....,pos,sarc
Buang masa,neg,non-sarc
Keperluan kerajaan utk bayar balik hutang...tahniah najib! Tahun depan naikkan lagi.,pos,sarc
Apa  mau imbas najib pm pencuri dan penipu,neg,non-sarc
Kena naik untuk masa depan yang kukuh.,pos,non-sarc
bajet apapn dh x blh percaya..temberang je,neg,non-sarc
"Kutip Gst menampung penurunan harga minyak mentah yg jadi mangsa rakyat, kepala but namanya.",neg,sarc
Bajet 2016 susah kan rakyat malaysia....!,neg,non-sarc
Setakat beg cacatan barang naik buat apa.jng jadi bodoh nk tipu rakyat,neg,sarc
Bajet jahanamkan ekinomi negara,neg,non-sarc
Tak sempat nk bajet jib oi ..ini hr gaji esok habis .. Raayat hidup dlm angn2,pos,sarc
Tajuk pun dah salah. “Ekonomi Keperluan Rosmah” .Tu baru betul,neg,sarc
Bentang bajet??? Cri bajet ad la,pos,sarc
boleh pegi meninggal sama ko punya bajet,neg,non-sarc
Itu semua atas kertas... Tp xde pon realisasikan.. Nanti ad la menteri n pakar ekonomi dr najib cakap bajet 2016 ni yg terbaik di abad ini...,neg,sarc
Ala utohhhhh,neg,non-sarc
"Tk payah nk berbajet sgt laa... Nnti konon2 bagi pd rakyat...pastu rompak balik dgn GST, kenaikan tol....minyak, harga brg2 & berbagai2 cukai lgi...",neg,sarc
Buntang ada la..,pos,sarc
Bila undi tidak percaya nak d bentang.. Ada2 je cara nak elak tiap hari keluar berita bajet! Konon nye nak ampu rakyat! Puii Aku dh mual strategy ko nak kekal jadi PM najib lahanat! Ko tetap akan turun jugak PRU14 terus masuk penjara,neg,sarc
"Bajet, untuk kabinet kayu",pos,sarc
Kukuh msuk poket geng2 najid,pos,sarc
Kukuh taik palat,neg,sarc
Terbaekk....,pos,sarc
Sedapnye baca berita ni...sedap baca jer la hakikatnya..,pos,sarc
Ini carta saja...betul punya belum tentu ..manis umpama gula tapi pahit dihujung,pos,sarc
yg penjawat awam je.. swasta ni..apa pun xde..yg ada kos sara hdup makin tinggi.. gaji ckup2 makan.. sementara nk smpai hujung bulan haa.. meranaaa..,pos,sarc
najib dh bagi 500 tu.org keje kerajaan pasni pastikan jilat najib dgn lebih kuat lagi,neg,sarc
gula2,pos,sarc
Lepas ni smua barang naik..yg sedap org gomen..,pos,sarc
"Xadil...cmna dorg yg keje sndr? Yg kje kampung? Nelayan, menoreh getah? Yg baru nk menapak? Wlaupun 10sen trlalu brmakna utk mreka...",pos,non-sarc
Pekerja swasta DIABAIKAN.....,neg,non-sarc
Oww pnjawat awam jela yg bayar cukai..byar gst..swasta ni tak la ea?bila dah nk pru mase tu la kau bodek golongan swasta ni untuk undi dia...nyibai la najib...,pos,sarc
ni politik najib untuk mendapat undi apabila PR nanti.,pos,sarc
Penjawat awam je ke yg tersedak?,pos,non-sarc
Lepas ni pakat lah ramai2 pi pangkah bn lagi ye. Thorbaekk..,pos,sarc
bapak die,neg,sarc
"Dia bagi duit..ambik je la,jgn banyak cakap..",pos,sarc
Hahahahhhahah klaka.,pos,sarc
bak kata pakjib... ckup la 500... belanja rm41.60 je sebulan...  skrg ni sekelip mata beli 2 barang pon dh rm50...,pos,sarc
rupanya semua rakyat penjawat awam,pos,sarc
Setakat rm500 pekerja swasta nak dengki baik muhasabah diri...,pos,non-sarc
billion billion juta juta... banyak tol duit kerajaan ni.. kang x cukup senyap2 je pinjam lagi.... bertambah la hutang negara.... nak bising pon x guna....,pos,sarc
Untunglah gov....yg lain2 ni apa????,pos,sarc
baguslah..nanti boleh perah gst kow2 tahun depan hehe,pos,sarc
Gula2,pos,sarc
Rm500 bolah tahan setahun xpun sepuluh tahun....,pos,sarc
"penjawat awam dapat 500 je? company (swasta) aku pun bg 2.5 bulan, taik idung masin la ko ni jib.",pos,sarc
"Xnk Brim,  Just hapuskan tol , Gst , and bagi subsidi pada minyak tu lagi membantu rakyat",neg,non-sarc
semua tipu je tu. Usah caye,neg,sarc
Ni salah satu rasuah besar negara.Rm500.00 adalah perjanjian untuk angkat sumpah berahsia untuk melindungi keburukkan pemimpin.,neg,non-sarc
Aku gaji 1 bulan 1000 jer.. Kete 400 .. Umah 250.. Aku bersyukur sbb allah bg aku nyawa.. Untuk cri sesuap nasi.. Aku brsyukur ape yg aku ada..,pos,non-sarc
500 bli coly rosmah sebelah ja dpt,neg,sarc
swasta mkn angin haha....,pos,sarc
Kita yg swasta duk nganga bayar cukai sana sini tp habuk tadak .alhamdulillah ..,pos,sarc
Sblum ni ada ke kerajaan bg duit ??? Contoh mcm brim.. Voucher buku dan lain2 ... ? Cuba jelaskn sepeti pm sbntr td.. Brsyukur lh ape yg kite ada.. Jgn spai allah tarik blik ape yg kite ada.. Jgn sentap itu lh hakikt nye...,pos,non-sarc
"Oklah 500,  10 thn tk abis lg tu",pos,sarc
"Anggap lah pmberian ni rezeki dr allah dtgnya,alhamdulilah",pos,non-sarc
woww igt byk ke 500 tu,pos,sarc
Najib ngan balaci2 sume kaki auta...,neg,non-sarc
"Rm 500 ja...kalau nk pru, stgh bulann ko bg..#bodohnajib",neg,sarc
Serunok le org keje krjaan,pos,sarc
"Haha mula2 ucapan najib puji gst bagus tapi tahun lepas xde gst boleh bagi bonus 1/2 bulan gaji, tahun ni ada gst dpt rm500 je...",pos,sarc
pg mmpus laa,neg,non-sarc
Alhamdulilah rzki jg wlu 500,pos,non-sarc
Membantu beban rakyat la sngt. . .. Hahah,pos,sarc
bersukur seadanya..,pos,non-sarc
"Alhamdulilah tahniah DSNajib yang begitu tenang, moral yang tinggi ,ketika menyampaikan bajet2016 menjadikanmulut pembakang M E L O P O N G dalam dewan .",pos,non-sarc
standarddddddddd........,pos,non-sarc
Bercukur...bercukur..smpi botak,pos,sarc
Nasib Ada....dr xde langsung... Tq pm....,pos,non-sarc
Yela dato.. aq dll keje basic 2k. Sbb gst pny pasal. Ot smue haram. Company cut. Keje free.,pos,non-sarc
mcm mna rezki nak masuk klu nak byk bonus bli saham bru dpt ribu2 byk komen ooi tak nak jgn ambbil,pos,non-sarc
"Tak taulah...beli baju spsang anak ,beg ,kasut,belum lg buku dia...dah tak cukp utk 1 org anak....klau  3 org anak...em ...entahlah.......dgn kos sara hidup ni....gaji pun tak sberapa....",pos,sarc
Swasta kena cukai lg ada la.. Harapkan Bonus hujung tahun jela.. tu pon kalau ada..,pos,sarc
Yang gaji 4 ribu...buta2 dapat 2 ribu..kita yg gaji seribu...,pos,sarc
Yes.500 ooo oooo. .... lalallalalalaaa ... meme terbaik lah...ingt dpt 50 td....,pos,sarc
Terima kasih kerajaan ..syukur alhamdulilah,pos,non-sarc
Alhamdulillah..,pos,non-sarc
Alhamdulillah,pos,non-sarc
Untung la dpat rm500...bahagian swasta dpat apa plak????hahahaks,pos,sarc
Mana cukup 500.....brg sume mahal,neg,non-sarc
ok la dr xde lasung...tp org melayu mmg sng kne gula2...bru kne bg 500 dh kokak seronoknya...tp lupa skali tu je dpt...tp xsedar pokjib hari2 peras duit rakyat...hari ni kita boleh rasa sronok dpt bonus..esk lusa bonus diorang plak...jgn lupe...keh3,pos,sarc
"Rakyat Malaysia tak minta,,,Brim,,,duit sokongan,,,,cuma kurang kan beban rakyat,,,,itu je,,,,jgn practice. Bagi duit,,,,",pos,sarc
Bagi rm 500...tapi kena bayar 5 kali ganda lagi..,pos,non-sarc
Aii Brim dapat...gaji naik..dan bonus rm 500...tak tau nak bersyukor ???,pos,sarc
tiap tahun.mmg dpt 500 pun,pos,sarc
X pernah bersyukur ape yg kerajaan kasi....ank2 sekolah kerajaankan..,pos,sarc
Wooow banyak tuuuu,pos,sarc
Penjawat awam jer...yg keje swasta nie..mmmm..,pos,sarc
Thun lpas sparuh gaji.. .thun ni 500.. thun dpn 300.. .last skali.. xde.. haha,pos,sarc
buat tmbg blik. okla tu,pos,sarc
Hmm stgh bln gji pn pyh ke lahaiiiii ...,pos,sarc
Kedekut jib,neg,non-sarc
Tq,pos,non-sarc
Syukur la tu org nak bagi..kalau xmau wang tu sedekah pd  yg berhak.,pos,non-sarc
"BERSYUKURLAH . Daripada tiada. Asyik nak komplen je. mcm mana rezeki nak masuk. -,-",pos,sarc
"Alhamdulillah,  belajar bersyukur..",pos,non-sarc
klau dh dky pru bru nk bg baik xpyh nmpk permain najib,neg,sarc
Hahaha..... Rakyat dibadutkan......,neg,sarc
500 dah la.jib nk simpan duit,pos,sarc
Babi pm,neg,non-sarc
Pnjawat awm je la rakyat kt mlysia ni,pos,sarc
haha kalau time tdesak hampir2 makan megi ko rasa bagus tak tiba2 dapat 500? bersyukur jela dri xde...,pos,non-sarc
Buto kau.. apa ad ngn 500.... blnja sblan pon da lbh 500... ringnkn bbn rkyat... bknnya rkyat nk duit... 500 than lma mna je.,neg,sarc
Untung la penjawat awan...yg bahagian swasta jea belom lagi...,pos,non-sarc
Bagusla..tahun lepas dapat setengah bulan gaji..tahun ni dapat 500..Nanti nak baru nak pilihanraya baru nak bagi sebulan gaji..nampak sgt rasuahnya...,pos,sarc
Yeeeeaaayyyyy tok jib bg duitttt..,pos,non-sarc
500 je...ingatkan setengah bln gaji..xpea..adil..suma dpt 500..hahaha,pos,non-sarc
ltk jwtn la jib.rmbat pnya byk bgi sikit..,neg,sarc
Rugi jd pjawat awam sbb x dpt br1m. Lantak kaw lah jib.. pru bakal tiba,neg,non-sarc
Gula2..,pos,sarc
bersyukurlah apa yg org beri.,pos,non-sarc
tu je...,pos,sarc
haha 500 .hahahahahahhahahahhaah .brim banyak lagi,pos,sarc
Sebulan gaji pun tak boleh nak beri ker ..? ambik gst berbilion bilion ...sembang ekonomi tinggi melangit  .. hujung2 apa pun tak der ...,pos,sarc
"Ahamdulillah, RM500 pun jadilah...",pos,non-sarc
alah propa je lebih..pelepasan cukai org cam aku ape pekdahnye dpt,pos,sarc
Amin,pos,non-sarc
X perlu la nk harap sangt duit 1500 tu..bukankah jaga ibubapa itu tanggunjawab ank2..redha Allah itu penting...,pos,non-sarc
Bugima jib.,neg,non-sarc
Janji2 syurga x leh percaya dh byk kenci g rakyat,neg,sarc
"takyh bg la tu tnggungjawb ank2, byk lg yg prlu dibantu!",neg,non-sarc
"abis ibubapa yg sara ank ni x diberi pelepasan cukai.. cukai x layak diberi pd rakyat Malaysia. bak kata najib td dlm bajet tu negara kita blom papa kedana lg kenapa pembangkang kata Malaysia da muflis. sdgkan mufti kata bila kita baca balik bila negara ni ada masalah kewangan yg teruk baru bleh bg cukai tp cukai yg berpada pada. ni gst lg cukai kereta,rmh dan sbnya semua cukai. x pela najib esok2 jwb la pd berjuta rakyat kat mahsyar. aku x halal dunia akhirat..sekian",pos,sarc
Kalu rkyt yg x kna cukai  tp mnyara kedua2 ibubapa mcmane plak???ooo aq lupa...brim 1k...kpala hotak ko lh bangsat...,neg,non-sarc
Pelepasan cukai untuk org kerajaan je...,pos,sarc
ni pembohongan yg nyata,neg,non-sarc
terima kasih lah kerajaan skrg tolong org susah sebegini..????,pos,non-sarc
yg berumur 60 tahun ke atas.. yg kebawah xda.. huurrmm.. matilanak..,pos,sarc
sabar ja....syukur malaysia ku masih aman..,pos,non-sarc
"Apa maksud “menyara ibu bapa” ? Kalau anak ramai & semua contribute bg duit kt mak ayah kt kampung, mana satu yg dpt rebat? Semua ke?",pos,non-sarc
Aminn..syukur alhamdulillah...drpd tak de lngsung..dpt juge ringan kn beban...,pos,non-sarc
"Pelepasan, bukan dia bagi bantuan $1500 tu!! Sakit harian tetap perit.",pos,sarc
Org bg pun bising...,pos,sarc
Tk yah kenakan cukai langsung lahh.Senang crita,neg,sarc
Untung lah..ec borang cukai konon jg mak ayah tp mak ayah kat umh sinar harapan atau  half way house...bkn nak bantu jengok pon x kuase..hahaha..senyum lebar nmpak,pos,sarc
Mn cukup setahun 1500..agak2lah..sebulan 1500 ok jgk..,neg,sarc
Hanya mahu pelepasan dr azab dan siksa api neraka??,pos,sarc
Tp nk dpt pelepasan cukai tu susah... nk kna documen yg bermcm ragam... saya beli ubat2an mak kt farmasi pn... ada yg ditolak drp dimasukkn dlm cukai pendapatan... tong kosong je lebeyyyy....,pos,sarc
Sepatutnya beri lah rm1500,neg,non-sarc
Bgus lah..,pos,non-sarc
Aminn,pos,non-sarc
hancur negara aku percaya,neg,non-sarc
Itu bajet jahanam kn negara .... bg derma kat org bt ape.. betol kn ringgit tu dulu br blh kukuh ekonomi negara ..,neg,sarc
Bajet main2,pos,sarc
Tgk jelah nanti aetakat mana dia punya kukuh....jgn kukih tang lain sudah,pos,sarc
perkukuh kepala butuh duit dah habis kau rembat,neg,non-sarc
Lebih kepada pengukuhan posisi Najib.,pos,non-sarc
Sangat lah kukuh,pos,sarc
perkukuh ekonomi negara je.. ekonomi rkyt hampehhh...,pos,sarc
Kukuh ekonomi kot mna.ka kukuh kocek masing2,pos,sarc
Kukuh untuk ko dgn kak mah jela,neg,sarc
Poda la kau.....duit ringgit jatuh,neg,sarc
Memang la kukuh..d perahnye setiap rakyat dgn GST..mustahil kerajaan x untung..kerajaan paling bebal dlm sejarah msia.,pos,sarc
Kkuhkan duit poket kau penipu,neg,sarc
"Mcm mn ni tahun2 brng asek naik hrga, yg kerja seorng,gaji sebln bt byr bil, sewa rmh, ank sekolh, bt mkn pn tk cukup,pasl2 gantung diri juga nampk.",neg,non-sarc
Terbaikkkk BN..,pos,sarc
Terimakasih Jib kerena beri kami pikul batu2 besar.,pos,sarc
Terima kasih mlysia.... Sllu crita di pusing toya dia prkukuh ekonomi ngra sdangkan rnggit mlysia trllu jtuh skg.... Hbis tu prkkuh ekonomi ngara spin xhbisﾲ,pos,sarc
podahhhhhhh,neg,non-sarc
Thanks  :p,pos,sarc
Betul tuuuuuu......,pos,sarc
Sebelum gst brim rm 900. Lepas gst brim rm1000. Naik rm 100. Depa bantai gst beratus beribu drp orang kampung,neg,non-sarc
#perdanamenteri #najibrazak pandai sangat ... cukai tu yang mansuhkan... bebankan rakyat...brim tu bagi kat perdana menteri tuhh mengong,pos,sarc
Guna  lagi cogankata “I love PM”  APA jadi Sekarang ! Now get lost PM letak jawatan.,neg,non-sarc
Sapa2 yang tak mahu br1m jgn isi borang  jgn cakap banyak sebab banyak takyat  yg  mahu br1m diteruskan.Terima kasih kpd YAB Najib,pos,non-sarc
najib sudah gila,neg,non-sarc
Dlm parlimen najib sering sebut... Suka saya menyatakan disini.....Tukar DAILOG....ikut suka hati aku. Seolah2.nya.....apa yang nak diberi pada rakyat. Adalah kepunyaannya.Sepatutnya...selepas BAGET..perlu dibahaskan. Tapi..0000000.inilah...parlimen Malaysia.Bila masa pula pembangkang sokongGST? Satu Satunya PM yang paling hebat. boleh dapat mengesan nadi rakyat.Tungguuuu ! Lepas kita semua akan disembelih. Pemimpin makan DAGING AYAM.. Rakyat makan BULU  AYAM. from..KLUANG MAN .....JDT.,neg,non-sarc
ye ke.saya di sini merasa tak puas hati di sebap kan BR1M.kenapa kami dapat perangat kedua je mana janji doran tu dalam setahun dapat tiga kali..,pos,non-sarc
Rasuah rakyat lg,neg,non-sarc
Guna gst utk bayar brim.,pos,non-sarc
Bagi brim pun org tak sokong ko najib. Pikir2kan la. Baik duit tu byr buat kurangkan kos hidup rakyat mcm tol dan letrik.,neg,sarc
Rakyat rata2 x perlukan BRIM...x mampu menolong in long term pun. Nak pancing. Undi mcm. Umpan x mengena,neg,sarc
Apa. La faedah nya BRIM ..awalnya utk pancing undi kot,pos,sarc
Dapat jer brim wah semua bersyukur... syukur.. habis duit mula lah.. kesian tgk y.. macm peminta derma najib buat rakyat.. pas bg brim barg semua naik.. pas tu dia tau rakyat susah dia bg lg Brim.. janji dapt raih undi.. bg beras sekampit bg rm 50..,pos,non-sarc
Amin  .bRIm naik.,pos,non-sarc
Brim pancing undi.. brim pancing undi.. brim pancing undi..,pos,sarc
tq najib..brim thn dpan boleh la aku wat deposit ferari..ohh tq yg amat umno..i love najib kakmah,pos,sarc
Cakap jek...t mcm2 naik..berat badan pown naik....??????,pos,sarc
Sentiasa sangka baik najib juga ada perasaan seperti kita ..,pos,non-sarc
"Beri  Rasuah 1 M'sia ,supaya senang nak naikkan cukai. Haprakk  lah",neg,sarc
Hg naik brim lps tu naik tol... mangkok betui la engkau ne,neg,sarc
"Naikkan Br1m pastu kos semakin naik, abis y xdpat brim ni bukan rakyat malaysia ker? Kami pun bayar cukai..",pos,non-sarc
bajet 2015 hutang negara mencecah 800b ...bajet 2016 ne agak2 mencapai sasaran 1000b x hutang negara...bajet meringankan kepala hotak pm..,neg,non-sarc
"Ooops “ mejoriti rakyat berterimakasih dapat BRIM” kata tok jib kita....tanya org kpung....tak de brim pun boleh hidup....cuba tanya org bandar....dpat $1000 ....tol,minyak,barang,dapur.segalanya..kena 2000....fikir2kan.",pos,non-sarc
Sya bersykur dpt brim..,pos,non-sarc
WAYANG,pos,sarc
ye la bg brim sume naik..so ape gune...thn dpn ape la lg naik...hurm....,pos,sarc
"Shukur apa yg  dtentukan Tuhan,bgi salah tk bgi salah????????????",pos,sarc
naik berapa b hahahahah,pos,sarc
Menyampah nyer aku dgr brim ni...buat apa brim!!!,neg,non-sarc
Ta payah bagi BR1M....asalkan jgn tindas rakyat,pos,sarc
Xpayahla bg brim Atok Najib t ko mkn balik ngan kenaikan minyak petrol..HUH,neg,sarc
