comment_eng,sarc_majority
no need nak budget is Najib Malaysia have entered the country charts with the most right in the world of money right money gst billion where you're going to spend any income tax which goes subsidies already pull free education is not everything has gone up which is no longer enough countries have severe currency has blasted what are you talking more stable economy has been shattered perish is you do,non-sarc
grateful is what is now loud noise in facebook can not change everything again went dissatisfaction is any country you like point,sarc
useless,non-sarc
budget only last as long as you can budget pru can not have you going to the budget,sarc
story on paper it looks nice like this seblom but as a result we are now facing the end of this year the star again next year we saw the people on his back again,sarc
no function only of this budget underpaid young people can not be anything else interesting,non-sarc
I do not understand properly why the minimum wage Sabah Sarawak and w go Labuan only RM months while to here goods more expensive than in the peninsula to the minimum wage RM months wal things that government employees from outside the region has one of the regional allowance grade n RM oh but try if Sabah Sarawak Labuan wp peninsula only RM just weird weird and really unfair,sarc
A good budget is,sarc
budget each year the budget for all of his cronies vacuum all,non-sarc
You receive donations budget people today pay GST facts,non-sarc
head testicles need you,non-sarc
pru we should pay no attention last ingot people go is difficult as long as I'm alive and happy cronies puii,sarc
pru ??? tag line before we hear the pulse of the people ???,sarc
ask is there a mufti azan him to KFC uncle's ear,sarc
not stretch to stretch into most of the people makes no different,non-sarc
I'm tired of hearing the same budget also run budget,sarc
b budget inches thick face shameless,sarc
phobias is the look he's right,sarc
budjet for Rosmah Mansur and cabinet sycophant najib,sarc
Ingot you r lazy self najib budget,non-sarc
cool budget,sarc
No more will tapir dock Caya,sarc
blotted gst,non-sarc
landscape waste your time bandits masked devil budget,sarc
I do not believe this najib of deceived people and oppressed under the minister he was all right to eat people,sarc
what the people were taking this all things were gonna breathe more air to pass payable shall be adopted water purifier,sarc
the budget for dead people,sarc
chills just felt like he wanted to stretch the budget this afternoon haha,sarc
This trick only as long as he wants to rake in the money of the people as long as it is difficult she dredges XPK people happy idiot minister Najib wood,sarc
The self is not dead -_-,sarc
What other kid in the tone of voice let's see who touches,sarc
"the budget is to strengthen its position as pm not for the people, and after a few years he began to wring the neck of the people for him and Rosmah cache afro hair",sarc
gst to the people of the greatest gifts of Najib Malaysians,sarc
bag trick for fraud,sarc
unfulfilled budget of commotion in wait for him at his pleasure that comes next year's budget burden being left waiting for the joy of torture do not expect is,sarc
This does not stop you smile noh b unaffected say this troublesome tribal people,sarc
gst help the government said it was capable of paying income tax income thanks indeed we have millions of infant per month,sarc
calamity will befall,sarc
Najib is a great great fool,sarc
book bag in debt only to the,non-sarc
What is that kid just scanned all the troublesome point brim was what it was all go shopping already reached the kitchen to try to cancel hundred incoming gst gst relieved of government to choke the blood of the wrong kind,sarc
budget planners,non-sarc
unconscious to plague only lengthwise,non-sarc
you wring gst you hit the right needs of the people said to the people suffer because you najib,sarc
felda n budget only for government business only private work please go dead,sarc
the hypocrisy chat,sarc
none coat budget economy needs n Najib Rosmah,sarc
Najib budget for this year has increased his wealth and extravagant Rosmah,sarc
Malaysia forward rather than backward to,sarc
sugar budget to the minister that we hear the fan away tomorrow the minister said all the good there is nothing good that I am the minister's feet to be full fan account,sarc
useless,non-sarc
themed swipe for smooth budget,sarc
how do you see the look he'm tired very mention his style very crap,non-sarc
Malaysia backwards,non-sarc
budget what most people think of each year what feels right that definitely needs more goods rose oil is more Umno pig,non-sarc
dsn congratulations budget promises fulfilled the economic needs of the people and promote economic burden and inconvenience to the people promise not kept,sarc
pelir budget on paper all great but did not create a dust,sarc
budget in Rosmah how many millions going shopping abroad should not forget also,sarc
devils bring milk,non-sarc
boring,non-sarc
budget before the real economy abound najib n crony economic needs of the people said,sarc
Najib despicable in the eyes of people who vote do not vote for him maybe feel noblest,sarc
This budget is simply cheating on paper,sarc
her to take back her coat is the coat of him for a bit he took back many of the budget each year najib,sarc
waste time,non-sarc
the government needs to pay back debt Najib congratulates raise again next year,sarc
what you want to scan najib pm thieves and swindlers,non-sarc
hit up for a strong future,non-sarc
any budget I can not believe garrulous only,non-sarc
gst quotation accommodate the decrease in crude oil prices will be the victims of head but his name,sarc
the difficult budget Malaysians,non-sarc
so the bag defects that make up what is so stupid I do not cheat the people,sarc
Hell budget economy,non-sarc
I had no ooi jib budget tomorrow's payday is exhausted people live in delusion,sarc
the title was already one of the economic needs of Rosmah ??? ???The new right,sarc
stretch the budget were the budget there is,sarc
The same can go die you've got the budget,non-sarc
it's all on paper but no later realize there is no minister of Najib n economists say this is the best budget in this century,sarc
alahai testicles,non-sarc
I really do not have to budget for it later said the people behind the robbery off the correct GST hike oil prices various tax again,sarc
There is staring,sarc
when a vote of no confidence in the star kid there is only way to avoid going out daily budget news said it wanted ampu puii I'm sick of strategy are you going to remain so pm najib evil you keep going down pru also continue to go to jail,sarc
the budget for the wood cabinet,sarc
strong into the pockets gang najib,sarc
solid manure palat,sarc
best,sarc
how nice yummy read this news just read is essentially,sarc
This chart has not necessarily just the right sweet like sugar but bitter at the end,sarc
"that civil servants only private any existing no cost of living, the higher the salary enough to eat while I languished until the end of the month haha",sarc
Najib easy for the person working next government to make sure panting najib stronger,sarc
sugar,sarc
This past all that more delicious the government,sarc
not just how to work her own people working fishing village which is just about to tap rubber tread even sen Too mean for their,non-sarc
private sector workers ignored,non-sarc
oh verbiage civil servants who pay taxes pay private gst this is not gonna pru ea when it is time you flatter private groups to vote this evening he is najib,sarc
The political Najib to win votes when elections later,sarc
civil servants only to the choke,non-sarc
This last is a lively discussion going cross the line again ye national best,sarc
her father,sarc
he took only the money is not much to say,sarc
funny haha,sarc
bak said Mr Najib enough shopping RM only a month now overnight buy any goods dah RM,sarc
apparently all civil servants,sarc
RM so I envy both private employee self-reflection,non-sarc
billion billion million million of government money properly is not enough that quietly borrow again increased the national debt is not going to noise,sarc
Fortunately this what other government,sarc
good riddance later can wring gst kow next year haha,sarc
sugar,sarc
RM gives can not even hold a year ten years,sarc
civil servants can only private company for months I was salty booger this is you jib,sarc
do not want to delete the brim just right gst and the subsidy on oil it again help people,non-sarc
all planning only have to believe it,sarc
This is one of the country's corruption RM is an agreement to lift the secrecy oath to protect cons leader,non-sarc
I pay the car home only reason I thank God for my life to find a bite of rice I'm grateful for what I have,non-sarc
Coly Rosmah buy side only,sarc
haha private outings,sarc
a private sit agape we pay taxes here and there but no thank dust,sarc
previously to the government for money for a wide brim example vouchers and other books like trying to explain just now pm thankful that we have is what gods do to pull back what we have is the fact that do not snap it,non-sarc
okay not hold it out again,sarc
This provision shall deem him from coming thank god,non-sarc
wow remember much into it,sarc
Balaci najib with all feet auta,non-sarc
RM only if you want to pru half months for stupid najib,sarc
le fun the government work,sarc
Najib began his praise haha nice gst last year but no gst can for bonus pay this year last month to RM only gst,sarc
I am dead,non-sarc
thank our luck though,non-sarc
assist the people's burden is very haha,sarc
grateful potluck,non-sarc
Najib congratulates dsn thank you so quiet high morale in his budget makes up the opposition m e l o n g o go in the hall,non-sarc
standard,non-sarc
shave shaved bald,sarc
there is no immediate fate of thanks pm,non-sarc
yes I do dato and other basic work good reason gst article has all illegal overtime working company cut free,non-sarc
how are things going to get in if you want a lot of bonuses to buy new shares to thousands of comments ooi not want do not take,non-sarc
Worshippers do not buy clothes a pair of shoes not to mention the book bag he was not enough for the child if the child em I do not know the cost of living is too meager salary,sarc
private taxable again there is hope that the year-end bonus verbiage if any,sarc
the salaries of thousands of blind can be thousands of us who pay a thousand,sarc
ooi lala oh yes it is best to remember that,sarc
thank you thank you thank government,non-sarc
thank,non-sarc
thank,non-sarc
RM fortunately it can be any private parts anyway haha,sarc
where everything is expensive enough,non-sarc
ok is of no direct but Malay is indeed susceptible to new sugar hit for'm Sokak fun but forget all that only can but do not realize Mr Najib day squeeze money people today we can feel good bonus the day after tomorrow bonus he's also not forget kah,sarc
Malaysians do not ask for money brim support just about the burden of the people do not practice it only for the money,sarc
for RM but payable fold again,non-sarc
aii brim can pay rises and bonuses RM does not know what to be grateful,sarc
every year it can also,sarc
never grateful for what the government for government school children,sarc
wow many Ampera,sarc
civil servants who work these jobs hmmm,sarc
Last year half of next year's salary last year was no haha,sarc
create connection it back okay,sarc
hmm half month salary was difficult to alahai,sarc
stingy jib,non-sarc
thank you,non-sarc
gratitude is that people want to if you do not want the money to charity on the right,non-sarc
thanks from no complaint only engrossed nak nak how things go in - -,sarc
thank learn thankful,non-sarc
"I'm just getting to pru DKY good game, saw no need for Najib",sarc
haha people in clown,sarc
it is going to save money jib,sarc
pig pm,non-sarc
only civil servants is close to Malaysian citizens,sarc
haha that nearly ate maggi desperate time you feel good can not come from nothing thanks verbiage,non-sarc
blind you to what is already more than a month Ratio lightened the burden of the people instead of money people want lasting anywhere,sarc
profit civil servants is that the private sector alone have not yet,non-sarc
fine last year and a half month salary can be later this year a new kid I want a new election for a month salary seemed very corrupt,sarc
yay grandfather jib for money,non-sarc
only half a month's salary remind why not just all haha,non-sarc
jib is misplaced office has a lot of little rembat,sarc
loss of civil servants so why can not you do jib brim ingot pru will arrive,non-sarc
sugar,sarc
what people give thanks,non-sarc
that all,sarc
haha haha brim more,sarc
monthly salary can not even want to give kah take gst air chat billion billion economy's soaring ends any brother,sarc
RM also be ahamdulillah,non-sarc
alahai proper tax relief only more people like me what benefits it can,sarc
amen,non-sarc
I hope it does not get the money it wasnt very parents the responsibility to take care of children is important that pleased God,non-sarc
ass mother jib,non-sarc
the promise of heaven can not believe people have a lot of pee g,sarc
no need for it is the responsibility of the child much more that needs to be assisted,non-sarc
exhausted parents sara this child is not given tax relief tax is not eligible for Malaysians bak said Najib had in the budget that our country has not destitute yet why the opposition said Malaysia already bankrupt while the mufti said when we read back when the country there are financial problems severe new can of taxation but taxation is not unreasonable in this gst more car tax and its NAV house all taxes is not what tomorrow najib said that the millions of people to mahsyar I was not quite kosher afterlife,sarc
if people are not taxable but both parents earn too oh how good I forgot brim head brain you are poor,non-sarc
tax relief for the government alone,sarc
This blatant lie,non-sarc
thanks Sovereignty now help the hard way,non-sarc
aged or older and under no child is dead hmmm,sarc
patient only by gratitude Malaysia is still safe,non-sarc
what the parents ??? support ???if young people all contribute to father mak money near the village near which one may rebate all to,non-sarc
amen gratitude to Allah than nothing right light can also load,non-sarc
not release him for the help it remain painful daily pain,sarc
person for any noise,sarc
no need to impose direct taxation is happy story,sarc
ec profit tax form is said to also mak mak father's father but a ray of hope to the home or half way house is not gonna help jenguk was not a big grin haha power saw,sarc
where quite a year is rather long ok well,sarc
only want the release of Wrath and Fire!,sarc
but you may get tax relief it difficult to document due to a profusion my mother to buy drugs near a pharmacy in there that is deducted from the income tax included in the only empty barrel more,sarc
it should give RM,non-sarc
that's good,non-sarc
amen,non-sarc
I believe devastated country,non-sarc
it blasted the country's budget for donations to do what is right ringgit that was before the new can be a strong state economy,sarc
main budget,sarc
jelah later saw the extent that he has a strong do thirty different kinds have,sarc
head testicles strengthen the money has run out you rembat,non-sarc
more on strengthening the position najib,non-sarc
so is strong,sarc
strengthen the economy of the national economy only useless,sarc
Where does the economy strong sturdy coat pocket each,sarc
strong for you with my sister verbiage,sarc
go lah lah you money ringgit fell,sarc
it is strong in boat every citizen with the government gst impossible not to profit most foolish government in the history of Malaysia,sarc
strengthen pocket money you cheater,sarc
how this year more fun stuff price a month's salary to work for pay house rent bills for school children was not enough food clauses hanging himself also saw,non-sarc
national best lineup,sarc
thanks jib because they give us bear a large stone,sarc
"thanks Malaysia is always a story in her useless dizzy perkukuh country's economy, while the Malaysian ringgit are falling now runs the country's economic spin perkukuh not run out ???",sarc
go lah,non-sarc
thanks go,sarc
right tuih,sarc
before gst gst off the brim brim RM RM RM ride fathoms slaughtered thousands rather than the hundreds gst village,non-sarc
Prime Minister Najib Razak was very good at it that mansuhkan excise charge the brim of the people for the prime minister tuih mengong,sarc
to again cogankata ??? I love pm ???what so now now get lost resign pm,non-sarc
anyone who does not want brim please fill out the form do not talk much because a lot of people who want to continue thanks to the brim YAB Najib,non-sarc
Najib was crazy,non-sarc
"in parliament najib often referred like I said here the exchange of dialogue whims and I like it all that want to be on people's belongings should the budget be debated, but the Malaysian parliament any time nor the opposition support gst only print the most impressive can be detected last pulse of the people waiting to be slaughtered leader we all eat chicken people eat chicken feathers from keluang man jdt",non-sarc
ye to me here were not happy at the brim reason why we can only second perangat which he promised them a year to three times,non-sarc
corrupt people again,non-sarc
gst use to pay brim,non-sarc
to the brim even people you do not support Najib think it is good money to pay for reducing the cost of living and the right kind of electricity,sarc
Average citizens do not need brim unable to help in long term also wants the votes of bait fishing is not concerned,sarc
what is his interest initially brim to vote coat hook,sarc
can only be grateful gratitude brim wah all the money began to run out is how to see the kinds of people requesting donations for Najib to fit brim goods all rose when he knew the people suffer for longer brim promise he can get the votes for a bag of rice for RM,non-sarc
brim amen more,non-sarc
brim brim fishing rod votes votes votes brim fishing,sarc
Najib thanks resistant front brim can do I make a deposit ferrari oh thank you very much I love Umno Najib Rosmah sister,sarc
t jack capable of more weight even more,sarc
Najib also always thought there was a good feeling as we,non-sarc
Malaysia bribe so happy to raise the tax is useless,sarc
you write it up right off the brim of the bowl correctly is this you,sarc
Last brim raise the cost increase that can not be exhausted this brim of Malaysians do not we already pay taxes,non-sarc
b budget national debt this budget does not quite reach the target b lighten the national debt budget head brain pm,non-sarc
oops ??? the majority of people can thank brim ???Grandpa said jib we asked the villagers have no brim can also try to ask the city life can be properly oil all need to think of kitchen goods,non-sarc
I am grateful to brim,non-sarc
puppet,sarc
ye shall brim all the more so for what to hold ahead of what is yet more hmmm,sarc
thank god for that which is determined not to wrong one,sarc
b haha how much more,sarc
I heard her disgust for what the brim brim,non-sarc
no need for brim as long as people do not afflict,sarc
it is not difficult for Najib brim grandfather t you go eat with rising gasoline huh,sarc
time tun m so pm not brim people could live there is no GST was ok only people angry people do not even have to pay it all it could to the brim,non-sarc
I vote for the Barisan Nasional swear I will not vote Barisan Nasional last longer when I'm pig Najib's choice,non-sarc
yay brim right ringgit climbed up also,sarc
budget did not hear what was not the same thing as for once he did not scoop more than she's puii,sarc
turn,sarc
thank God that condemned the brim can try is a little shy but take brim curse if you do not like haha also featured national najib very time later election to vote power is the person you should,sarc
right up brim address soaring price rise,non-sarc
Jerri's capital is lobbying Mr Najib wants people,sarc
she raise prices arbitrarily remember correctly it can correct all payers brim to go m s,non-sarc
gst gst keep criminals,non-sarc
chicken brand has the,sarc
Can not brim aii appointment was not why prices of goods down oil prices fell down mks living suh I do not want to be grateful because Malaysia is still safe,sarc
The best is the brim,non-sarc
not to the brim goods again increased after this,non-sarc
brim brim brim when the debt plus gst pass it up again as soon as the price of goods scramble stand up again as soon as it drop again when the subsidy somehow what keeps him going fishing plan only Terje,sarc
income tax is more my husband later the awful puii,sarc
its brim fun can not wait to wait until next year,non-sarc
to write off the brim of the Apes collar working people to pay GST,non-sarc
all I can jerk off brim continues unable puii r,sarc
menyampah + le disgusted that can cover the mouth that can not be responsible,non-sarc
up only a heartbeat away from him collect millions of despotic leaders bald useless to Malaysia,sarc
RM is the new kid ride a ruckus right gst oil gas electricity all increased the price of what the story,non-sarc
gst brim hard not think it is ok cancel any run out of money much too,non-sarc
ge pushes for pay this tax all the toys najib,sarc
no need brim others who can eat?,non-sarc
thank brim turned up in line with cost of living increases right up soon public transport will also increase the longer najib rule is the higher the brim it,sarc
More countries need brim was no need for us to want to pay the national debt and restore economy,sarc
thank God he took the berries this year to next year already anyway inshallah,non-sarc
yay can brim again thanks jib after the price of what was later to reason that more people have the bubble ??? money through debt brim why many ???haha,sarc
The brim is no need not all be,non-sarc
gst more than brim,non-sarc
for corruption Malaysia,non-sarc
brim giving unfair,non-sarc
brim confirm that more oil would be more correct gst,non-sarc
The cause of this country's debt can not be resolved,non-sarc
pm the worst in the history of her country does not have its own character so pm just in shock when she saw people talking but was disgusted,non-sarc
out of all the people in to fool us hoi remember in the days of the pharaohs to see the very temperament of a pharaoh,non-sarc
old bankrupt government is spending a lot of those little profit but CEO of the stupid tax increase was not what,sarc
chat talk today about money b gonna tell the time span of the budget is piss away this najib,non-sarc
useless,non-sarc
Shopping for a new course brim represent the percentage of the total government budget for next year can be expected to rise again,sarc
budget fraudsters who do not want to feel proud of what's up,non-sarc
suffocating the name of his budget this,non-sarc
not out pissing Zeti who know the country's financial credit debit,non-sarc
provision of management which the provisions of the bill hundred twenty bills only alahai,sarc
support najib,non-sarc
accept whatever he set out to create the best,non-sarc
happy people just drain money willingly butcher he only wanted what money people want to be,non-sarc
budget balanced step forward for the welfare of the penal sufferings of how awful,sarc
not see anything else but other people ask you for,non-sarc
l really like the script is not necessarily the only beautiful,sarc
head harness he Apsalar still for money on cronies to create Parma remember everyone can buy do not chat sorts of wretched Apsalar government does not monitor the rise in house prices in order to maintain the pockets of go off it is not a budget but a budget cronies themed prosperous life cronies and henchmen National Coalition,sarc
bad lawyer ingots budget there will hubcap najib many housing projects for the jam,sarc
budgetary useless does not significantly reduce the cost of living gst him scoop but other taxes are not in touch directly should be removed or reduced income tax rather than many to be even went boarding new kind of lukewarm only the country less people also become the victim so the government make money with various tax quotation civil servants can be sick smile,non-sarc
poverty was,non-sarc
b budget for yourself haha,sarc
Peace is very,sarc
The most unpleasant budget budget to support personal political,sarc
najib pigs,non-sarc
not have the best,non-sarc
wow this magical outstanding profits again already know haha ready always want more oil and drug prices rose more taxes and more najib,sarc
misbegotten pm,non-sarc
father made him only shame pm pm the first one kind of everyone maligned him and tell him to come down and realized he was not ashamed pm Malaysia is the worst and hated by the people of Malaysia,non-sarc
budget fierce people owe,sarc
the ruined people's lives more difficult,non-sarc
misbegotten,non-sarc
sustainable economic languish what people try,sarc
all make good budget puii puii,sarc
Anal budget cattle,non-sarc
le tell me what to say we do not trust,non-sarc
take into account the MDB is bowl,non-sarc
before the budget is presented purportedly want to take the cost of living increasing the priority but he will not see any cost increase is going down the current government could lower the cost of living,sarc
not per year before the last pru Prepare the minister Najib and all life is not long last dead man was also,non-sarc
budget deceive people,non-sarc
yes it has come testicles budget head throat ??? if the minister does not like people oppose friends can go wild with the animals ???people,non-sarc
good budget budget budget glorious her last good person only profit,sarc
very unjust,sarc
t my gratitude for the national line,non-sarc
Sabah remember people eat stones,sarc
haha is not to increase the salary if all goods transport went up also,sarc
Salleh Keruak where the noise is you do not know who you jackass just got flatter minister Najib,non-sarc
RM why there should be even more why not for only RM so that the same government had peninsula RM Songok,non-sarc
no direct line,non-sarc
stupid stupid,non-sarc
I'm still not satisfied why public transport is also increasingly dry gst is the Sabah Sarawak Barisan Nasional because Najib has only link to the main suction Stamp what the fuck,non-sarc
what to eat if only oh,sarc
peninsula example - Sabah Sarawak examples of thought thinks it does not understand that differentiate the transmission and the purchase price of this is suck suck all of our money to them how can we live oil gst household necessities,non-sarc
foolish minister had,sarc
"salary if the salary of the peninsula, Sabah Sarawak must also why there is a double standard in Malaysia where he said one accord Sabah Sarawak minister why this quietly hate the people Sabah Sarawak with Stamp",sarc
You're good old foreigners is the salary does not rise too,sarc
Sabah Sarawak chapter of what others do not hear it at the same peninsula shrimp paste,sarc
the Sabah Sarawak do not have to use the money to,sarc
This all useless,sarc
why do not you remember him the same people there just want to live kah bangang,sarc
The national line is the national line Ahlul wait is this dead,non-sarc
pig has not been adjusted basis why we in Sabah and Sarawak only had to pay high prices Argan appeal Sarawak peninsula is not a major contributor to the economy of Malaysia is not fair n square to ask more pigs,non-sarc
looks very Sabah Sarawak in children tirikan these two states is not a large contributor to government revenue,sarc
of buying goods online only in peninsular and Sabah Sarawak postage pm what I claim you jackass the article at ha,sarc
thank,non-sarc
why Sabah Sarawak while the cost of living there is higher price of goods already expensive,non-sarc
Malaysia money equal to the amount haha,sarc
remember it was great to with the current economic situation people pay any salary Indonesia,sarc
The last year has yet to enforce the government let the witness lies,non-sarc
RM should peninsula Sabah Sarawak Labuan RM price goods to know not expensive ssl pesky pigs testicles testicles to the penis when you gonna pay ssl pig testicles easily unlucky bastard simak,non-sarc
Thanks also more grateful salary is what is even a little bit of money thanks to the NRR is tofu cakes amine,non-sarc
RM is not relevant is well,sarc
r life cheated,sarc
why Sabah Sarawak in its salary more waiting tirikan August foolish not crazy sal February alone,non-sarc
le mc if this is still not enough now that expensive if the child is not quite a thousand people today all her expensive,non-sarc
I'm the peninsula but I think is not fair salaries Sabah Sarawak RM why not up the good work significantly stranger came near Malaysia Borg again rich,non-sarc
salaries have increased employee productivity increase in dairy that can not be put any day can not be,non-sarc
what difference RM alg for RM only LHA puii,non-sarc
it is not just the right of the Sabah Sarawak peninsula seemed very biased,non-sarc
how people fooled again peninsula Sabah Sarawak fooled again much haha,sarc
Sabah Sarawak should be a more expensive salary are all nearby fool has najib,non-sarc
we are only satisfied the state of Sabah Sarawak us to live SSKM,non-sarc
unfair weighing Barisan Nasional leaders sided puii Songok,sarc
swine government of Sarawak and Sabah government also does not oppose direct pig,non-sarc
not just the state government but lopsided goods in Sabah and Sarawak n the silver only expensive private homes far back to the right and good prices across the country align the salary increase was due in equal right,non-sarc
"Sabah Sarawak Labuan remember the cost of living is high, especially in Labuan kah oil and gas all to know expensive here",non-sarc
Sarawak and Sabah had been long in the stepchildren by Umno because the salary can also vary but when marketing a strong example for the actual toll free cottage just right for free close properly payable and other titled ??? free ???the people of Sarawak and Sabah do not know high school to not be excited and so grateful to print from Umno vote more national front it but perhaps it is also good there is a difference from the peninsula because if the peninsula there be restrictions as before to Sabah nak kena for Identification Card and a wide range of overseas right,sarc
a lot is,sarc
RM clever budget is now this is a budget do not have to know the value of waste matter cent coin will not want to pay GST haha,sarc
of bias only,sarc
not fair,non-sarc
"haha why in contrast, the domestic large contributor to the federal government",sarc
Sabah for Sabean we want to manage their own country of Singapore,non-sarc
What type of house prices Najib also why the peninsula and Sabah Sarawak different kinds of dementia only,sarc
also wants to raise money to pay the GST to fool,non-sarc
puii good no need to say Malaysia is equally,sarc
pru Sabah Sarawak will be subdivided into parliament Umno Barisan Nasional won again haha,sarc
salary is not the same because the Sabah Sarawak more pathetic than the center of the peninsula for a little broom Match advance national line vote again haha,sarc
is folded n Umno Barisan Nasional later pru haha this is not helping the people but the people gave load Sabah Sarawak n what is the use of the Malaysian peninsula salary is not the same now young people are fed up Sabah Sarawak n know -go,sarc
why not in sync whether Sabah why should different class citizens to the brain where it goes najib,sarc
increase the salary shall be a thousand thousand and a half as well as the cost of living will equal more do you people remember where the employer is gonna cover wage increases they would have to charge a car service will increase transportation costs raise the cost price of goods all take not a little if one or two does not matter but if you already own a factory is that I think I already raise the service charge which I sell,non-sarc
Sabah and Sarawak are wearing loincloths anymore is when it's this kind of salary,sarc
why still exists a difference ???The minimum salary of Borneo class to,non-sarc
Najib had bangang main bandits somehow they just minimum wage if he did not know of any studies,non-sarc
This is what makes a thousand stupid,sarc
unfair wages are not the same as eating rice also,sarc
gst pay equal pay equal pay for exactly the same oil but why wages do not equal said Malaysia ass what this kind is to synchronize only once,non-sarc
the Sabah Sarawak Barisan Nasional najib support again he made us to be no different than our dignity with Stamp,sarc
why pay on the peninsula is not equal to the salary in Sabah Sarawak Labuan while the prices of goods in this place is more expensive than the peninsula,non-sarc
salary increase but whatever bad business,sarc
the first government under Najib is not fair either eat too unequal salaries,sarc
ghosts,non-sarc
RM it is a very big if you want to compare with the cost of living now is not gonna suck the article meager increase it,sarc
m is why there said low salaries have le goods Sabah Sarawak peninsula was expensive bit of order if there is another way to ss should pay a little bit more contact there is nothing whatever to take a little more,sarc
"I do not understand why Sabah Sarawak minimum wage is not equal to the peninsula's this low-Sabah Sarawak was also removed the GST or GST in Sabah, Sarawak",non-sarc
I plant is already far behind you ape the government should now pay all not,sarc
why housewives Indonesia given the minimum wage while they travel passes borne by the employer alone why locals salary lower than housewives seem very puppet seized,sarc
keep Umno in Sabah Sarawak n sm all flatterers who you vote for its own sake,sarc
his clever game,sarc
there is no minimum wage is sufficient swamp no gst n oil prices do not rise more oil alone there are rising people remember him sending goods to transport oil costs will increase,non-sarc
Higher minimum wage Thailand again huh although we have high wages but a bit sorry for the poor people of Malaysia have a leader like this,sarc
August why not start in February GST from April again this was already more,sarc
expensive goods in Sabah bah why bias,non-sarc
"puii you want to eat there with close kl what this all the objects do not have to say much more wait pru to all Malaysians, let us together togetherness cross pass life Hadi Awang",non-sarc
The minimum wage is the head of your mother is already one thousand kinds of bangladesh already want to live where wages like that,sarc
The vote was seen nationally line with Umno in Sabah Malaysia Sarawak not pure reason Umno faction fun of the rights of the states of Sabah and Sarawak fate is there just needed time alone lifeline neck level,sarc
Sabah Sarawak only people who know the pain of its own sidelined in the country where the concept of Malaysia Sabah Sarawak is open eye,sarc
RM year rmx month = RM thank you sir fixed jib ss stepson mu expensive goods for cheaper wages but to ss ss ss tail Malaysia donated a lot of this does my child in one accord Malaysia Sarawak,sarc
Sabah and Sarawak is suppressed when ???this,non-sarc
Najib head testicles unfair Barisan Nasional wretched,non-sarc
jackass pm last year he had a general minimum wage RM year anyway so down RM,sarc
we do not blame the government for claiming the right to referendum is not thought to why people want to come out Malaysia Sarawak that we people can opt out dah,non-sarc
why semester Malaysia rose thousand only talk to the minister ooi saw it SKT the private job that has long been working to increase not many try debated for an annual rise of private sector workers mean how else ok right things all the more toll also rose in price Ooi Najib countdown is disgusted I saw you,sarc
which fortunately foreigners,sarc
enough to RM for those living in urban goods rental cars too expensive to eat and drink if I RM does not quite live directly in the city's current value of RM RM buy snacks your child runs out of money to smaller Malaysia,sarc
Najib is the scope of this okay bye,sarc
gst equal the Malaysian peninsula higher minimum salary of Borneo is biased why today's leaders must be in the peninsula,non-sarc
"Where is Sabah Sarawak RM in the prices of goods, especially expensive food kitchen goods",non-sarc
nThis what we pay GST equal to the price of goods here more expensive if the chapters do not want to pay equal what gst case want to pay salary equal not want national armies have made the lives of thousands of beehive hair can also WeII,sarc
